Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,Kandidát
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,11,Maroš,Šefèoviè,  75,27.37,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,14,Juraj,Zábojník,  1,0.36,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,1,Béla,Bugár,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,2,Zuzana,Èaputová,  51,21.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,3,Martin,Daòo,  1,0.42,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,4,Štefan,Harabin,  44,18.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,5,Eduard,Chmelár,  8,3.43,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,6,Marian,Kotleba,  60,25.75,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,7,Milan,Krajniak,  4,1.71,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,9,František,Mikloško,  14,6.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,10,Robert,Mistrík,  1,0.42,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,11,Maroš,Šefèoviè,  44,18.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,12,Róbert,Švec,  3,1.28,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,13,Bohumila,Tauchmannová,  1,0.42,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,14,Juraj,Zábojník,  1,0.42,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511731,Podkriváò,15,Ivan,Zuzula,  1,0.42,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,1,Béla,Bugár,  3,1.38,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,2,Zuzana,Èaputová,  62,28.57,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,3,Martin,Daòo,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,4,Štefan,Harabin,  39,17.97,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,5,Eduard,Chmelár,  2,0.92,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,6,Marian,Kotleba,  34,15.66,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,7,Milan,Krajniak,  8,3.68,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,9,František,Mikloško,  11,5.06,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,10,Robert,Mistrík,  4,1.84,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,11,Maroš,Šefèoviè,  54,24.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518794,Slatinské Lazy,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,1,Béla,Bugár,  2,1.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,2,Zuzana,Èaputová,  42,29.37,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,3,Martin,Daòo,  1,0.69,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,4,Štefan,Harabin,  20,13.98,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,5,Eduard,Chmelár,  1,0.69,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,6,Marian,Kotleba,  35,24.47,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,7,Milan,Krajniak,  3,2.09,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518816,Stará Huta,9,František,Mikloško,  12,8.39,
