Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,3,Martin,Daòo,  108,0.56,  46,0.59,  62,0.54,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,4,Štefan,Harabin, 3 181,16.60, 1 260,16.41, 1 921,16.73,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,5,Eduard,Chmelár,  671,3.50,  298,3.88,  373,3.24,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,6,Marian,Kotleba, 2 371,12.37,  793,10.33, 1 578,13.74,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,7,Milan,Krajniak,  491,2.56,  191,2.48,  300,2.61,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,8,József,Menyhárt,  3,0.01,  1,0.01,  2,0.01,X
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,9,František,Mikloško,  997,5.20,  381,4.96,  616,5.36,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,10,Robert,Mistrík,  37,0.19,  14,0.18,  23,0.20,X
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,11,Maroš,Šefèoviè, 4 547,23.74, 1 635,21.30, 2 912,25.37,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,12,Róbert,Švec,  70,0.36,  18,0.23,  52,0.45,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,13,Bohumila,Tauchmannová,  33,0.17,  15,0.19,  18,0.15,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,14,Juraj,Zábojník,  44,0.22,  21,0.27,  23,0.20,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,15,Ivan,Zuzula,  33,0.17,  12,0.15,  21,0.18,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,1,Béla,Bugár,  213,1.10,  96,1.06,  117,1.14,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,2,Zuzana,Èaputová, 6 179,32.06, 3 113,34.38, 3 066,30.00,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,3,Martin,Daòo,  81,0.42,  46,0.50,  35,0.34,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,4,Štefan,Harabin, 3 169,16.44, 1 519,16.77, 1 650,16.14,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,5,Eduard,Chmelár,  599,3.10,  265,2.92,  334,3.26,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,6,Marian,Kotleba, 2 378,12.34,  974,10.75, 1 404,13.74,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,7,Milan,Krajniak,  547,2.83,  240,2.65,  307,3.00,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,8,József,Menyhárt,  7,0.03,  0,0.00,  7,0.06,X
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,9,František,Mikloško, 1 088,5.64,  441,4.87,  647,6.33,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,10,Robert,Mistrík,  38,0.19,  17,0.18,  21,0.20,X
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,11,Maroš,Šefèoviè, 4 700,24.39, 2 238,24.72, 2 462,24.09,
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,12,Róbert,Švec,  102,0.52,  34,0.37,  68,0.66,
