Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
5,ilinskı kraj,507,ilina,504,Kysucké Nové Mesto,2,Maroš,Šefèoviè, 7 168,62.95, 3 275,61.24, 3 893,64.46
5,ilinskı kraj,507,ilina,511,ilina,1,Zuzana,Èaputová, 33 742,55.46, 22 023,60.65, 11 719,47.78
5,ilinskı kraj,507,ilina,511,ilina,2,Maroš,Šefèoviè, 27 089,44.53, 14 283,39.34, 12 806,52.21
6,Banskobystrickı kraj,601,Banská Bystrica,601,Banská Bystrica,1,Zuzana,Èaputová, 26 531,61.92, 19 263,63.64, 7 268,57.76
6,Banskobystrickı kraj,601,Banská Bystrica,601,Banská Bystrica,2,Maroš,Šefèoviè, 16 316,38.07, 11 002,36.35, 5 314,42.23
6,Banskobystrickı kraj,602,Brezno,603,Brezno,1,Zuzana,Èaputová, 9 710,51.22, 3 462,54.05, 6 248,49.78
6,Banskobystrickı kraj,602,Brezno,603,Brezno,2,Maroš,Šefèoviè, 9 245,48.77, 2 942,45.94, 6 303,50.21
6,Banskobystrickı kraj,603,Luèenec,606,Luèenec,1,Zuzana,Èaputová, 10 523,59.55, 6 061,65.26, 4 462,53.23
6,Banskobystrickı kraj,603,Luèenec,606,Luèenec,2,Maroš,Šefèoviè, 7 146,40.44, 3 226,34.73, 3 920,46.76
6,Banskobystrickı kraj,603,Luèenec,607,Poltár,1,Zuzana,Èaputová, 2 608,42.25,  587,38.84, 2 021,43.35
6,Banskobystrickı kraj,603,Luèenec,607,Poltár,2,Maroš,Šefèoviè, 3 564,57.74,  924,61.15, 2 640,56.64
6,Banskobystrickı kraj,604,Rimavská Sobota,608,Revúca,1,Zuzana,Èaputová, 4 417,53.42, 2 628,53.68, 1 789,53.05
6,Banskobystrickı kraj,604,Rimavská Sobota,608,Revúca,2,Maroš,Šefèoviè, 3 850,46.57, 2 267,46.31, 1 583,46.94
6,Banskobystrickı kraj,604,Rimavská Sobota,609,Rimavská Sobota,1,Zuzana,Èaputová, 9 511,57.18, 5 019,59.57, 4 492,54.73
6,Banskobystrickı kraj,604,Rimavská Sobota,609,Rimavská Sobota,2,Maroš,Šefèoviè, 7 120,42.81, 3 405,40.42, 3 715,45.26
6,Banskobystrickı kraj,605,Ve¾kı Krtíš,610,Ve¾kı Krtíš,1,Zuzana,Èaputová, 5 821,52.61, 1 907,53.77, 3 914,52.06
6,Banskobystrickı kraj,605,Ve¾kı Krtíš,610,Ve¾kı Krtíš,2,Maroš,Šefèoviè, 5 242,47.38, 1 639,46.22, 3 603,47.93
6,Banskobystrickı kraj,606,Zvolen,604,Detva,1,Zuzana,Èaputová, 4 494,44.24, 2 898,43.59, 1 596,45.47
6,Banskobystrickı kraj,606,Zvolen,604,Detva,2,Maroš,Šefèoviè, 5 664,55.75, 3 750,56.40, 1 914,54.52
6,Banskobystrickı kraj,606,Zvolen,605,Krupina,1,Zuzana,Èaputová, 3 471,48.62, 1 690,53.85, 1 781,44.52
6,Banskobystrickı kraj,606,Zvolen,605,Krupina,2,Maroš,Šefèoviè, 3 667,51.37, 1 448,46.14, 2 219,55.47
6,Banskobystrickı kraj,606,Zvolen,611,Zvolen,1,Zuzana,Èaputová, 14 259,57.58, 10 167,59.75, 4 092,52.82
6,Banskobystrickı kraj,606,Zvolen,611,Zvolen,2,Maroš,Šefèoviè, 10 503,42.41, 6 848,40.24, 3 655,47.17
6,Banskobystrickı kraj,607,iar nad Hronom,602,Banská Štiavnica,1,Zuzana,Èaputová, 3 130,56.17, 1 994,58.13, 1 136,53.03
6,Banskobystrickı kraj,607,iar nad Hronom,602,Banská Štiavnica,2,Maroš,Šefèoviè, 2 442,43.82, 1 436,41.86, 1 006,46.96
6,Banskobystrickı kraj,607,iar nad Hronom,612,arnovica,1,Zuzana,Èaputová, 4 104,48.23, 2 262,52.71, 1 842,43.66
6,Banskobystrickı kraj,607,iar nad Hronom,612,arnovica,2,Maroš,Šefèoviè, 4 405,51.76, 2 029,47.28, 2 376,56.33
6,Banskobystrickı kraj,607,iar nad Hronom,613,iar nad Hronom,1,Zuzana,Èaputová, 8 788,56.16, 4 475,58.64, 4 313,53.80
6,Banskobystrickı kraj,607,iar nad Hronom,613,iar nad Hronom,2,Maroš,Šefèoviè, 6 859,43.83, 3 156,41.35, 3 703,46.19
7,Prešovskı kraj,701,Bardejov,701,Bardejov,1,Zuzana,Èaputová, 10 662,45.61, 5 298,53.35, 5 364,39.89
7,Prešovskı kraj,701,Bardejov,701,Bardejov,2,Maroš,Šefèoviè, 12 711,54.38, 4 631,46.64, 8 080,60.10
7,Prešovskı kraj,702,Humenné,702,Humenné,1,Zuzana,Èaputová, 7 492,40.62, 4 205,45.86, 3 287,35.44
7,Prešovskı kraj,702,Humenné,702,Humenné,2,Maroš,Šefèoviè, 10 949,59.37, 4 963,54.13, 5 986,64.55
7,Prešovskı kraj,702,Humenné,705,Medzilaborce,1,Zuzana,Èaputová, 1 068,32.39,  545,35.83,  523,29.44
7,Prešovskı kraj,702,Humenné,705,Medzilaborce,2,Maroš,Šefèoviè, 2 229,67.60,  976,64.16, 1 253,70.55
7,Prešovskı kraj,702,Humenné,709,Snina,1,Zuzana,Èaputová, 3 054,32.23, 1 816,37.12, 1 238,27.01
7,Prešovskı kraj,702,Humenné,709,Snina,2,Maroš,Šefèoviè, 6 421,67.76, 3 076,62.87, 3 345,72.98
7,Prešovskı kraj,703,Kemarok,703,Kemarok,1,Zuzana,Èaputová, 9 547,59.95, 4 563,61.23, 4 984,58.82
7,Prešovskı kraj,703,Kemarok,703,Kemarok,2,Maroš,Šefèoviè, 6 377,40.04, 2 889,38.76, 3 488,41.17
7,Prešovskı kraj,704,Poprad,704,Levoèa,1,Zuzana,Èaputová, 4 836,53.43, 2 587,53.98, 2 249,52.81
7,Prešovskı kraj,704,Poprad,704,Levoèa,2,Maroš,Šefèoviè, 4 214,46.56, 2 205,46.01, 2 009,47.18
7,Prešovskı kraj,704,Poprad,706,Poprad,1,Zuzana,Èaputová, 21 390,63.11, 14 638,64.87, 6 752,59.61
7,Prešovskı kraj,704,Poprad,706,Poprad,2,Maroš,Šefèoviè, 12 501,36.88, 7 927,35.12, 4 574,40.38
7,Prešovskı kraj,705,Prešov,707,Prešov,1,Zuzana,Èaputová, 32 386,57.97, 20 354,61.47, 12 032,52.87
7,Prešovskı kraj,705,Prešov,707,Prešov,2,Maroš,Šefèoviè, 23 478,42.02, 12 754,38.52, 10 724,47.12
7,Prešovskı kraj,705,Prešov,708,Sabinov,1,Zuzana,Èaputová, 6 275,40.27, 2 564,46.67, 3 711,36.79
7,Prešovskı kraj,705,Prešov,708,Sabinov,2,Maroš,Šefèoviè, 9 304,59.72, 2 929,53.32, 6 375,63.20
7,Prešovskı kraj,706,Stará ¼ubovòa,710,Stará ¼ubovòa,1,Zuzana,Èaputová, 5 805,41.66, 2 585,48.81, 3 220,37.27
7,Prešovskı kraj,706,Stará ¼ubovòa,710,Stará ¼ubovòa,2,Maroš,Šefèoviè, 8 129,58.33, 2 711,51.18, 5 418,62.72
7,Prešovskı kraj,707,Stropkov,711,Stropkov,1,Zuzana,Èaputová, 2 459,38.93, 1 394,46.87, 1 065,31.87
7,Prešovskı kraj,707,Stropkov,711,Stropkov,2,Maroš,Šefèoviè, 3 856,61.06, 1 580,53.12, 2 276,68.12
