Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
4,Nitriansky kraj,402,Levice,402,Levice,502049,Bajka,1,  253,  58,22.92,  58,100.00,  58,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502057,Bátovce,1,  963,  378,39.25,  378,100.00,  370,97.88
4,Nitriansky kraj,402,Levice,402,Levice,502065,Beša,1,  530,  157,29.62,  157,100.00,  156,99.36
4,Nitriansky kraj,402,Levice,402,Levice,502073,Bielovce,1,  188,  42,22.34,  42,100.00,  42,100.00
4,Nitriansky kraj,402,Levice,402,Levice,580937,Bohunice,1,  129,  78,60.46,  78,100.00,  76,97.43
4,Nitriansky kraj,402,Levice,402,Levice,502090,Bory,1,  269,  105,39.03,  105,100.00,  100,95.23
4,Nitriansky kraj,402,Levice,402,Levice,502103,Brhlovce,1,  267,  131,49.06,  131,100.00,  130,99.23
4,Nitriansky kraj,402,Levice,402,Levice,502111,Èajkov,1,  795,  413,51.94,  413,100.00,  396,95.88
4,Nitriansky kraj,402,Levice,402,Levice,502120,Èaka,1,  626,  197,31.46,  197,100.00,  196,99.49
4,Nitriansky kraj,402,Levice,402,Levice,555843,Èata,1,  903,  190,21.04,  190,100.00,  186,97.89
4,Nitriansky kraj,402,Levice,402,Levice,502154,Demandice,1,  802,  295,36.78,  295,100.00,  293,99.32
4,Nitriansky kraj,402,Levice,402,Levice,502162,Devièany,1,  342,  151,44.15,  151,100.00,  149,98.67
4,Nitriansky kraj,402,Levice,402,Levice,502171,Dolná Seè,1,  413,  162,39.22,  162,100.00,  160,98.76
4,Nitriansky kraj,402,Levice,402,Levice,502189,Dolné Semerovce,1,  418,  82,19.61,  82,100.00,  82,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502197,Dolnı Pial,1,  788,  266,33.75,  266,100.00,  263,98.87
4,Nitriansky kraj,402,Levice,402,Levice,502201,Domadice,1,  221,  104,47.05,  104,100.00,  101,97.11
4,Nitriansky kraj,402,Levice,402,Levice,502219,Drenice,2,  320,  161,50.31,  161,100.00,  157,97.51
4,Nitriansky kraj,402,Levice,402,Levice,502227,Farná,1, 1 144,  234,20.45,  234,100.00,  231,98.71
4,Nitriansky kraj,402,Levice,402,Levice,502243,Hokovce,1,  420,  143,34.04,  143,100.00,  142,99.30
