Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,9,2,Maroš,Šefèoviè,  138,33.57
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,10,1,Zuzana,Èaputová,  301,66.15
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,10,2,Maroš,Šefèoviè,  154,33.84
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,11,1,Zuzana,Èaputová,  263,70.32
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,11,2,Maroš,Šefèoviè,  111,29.67
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,12,1,Zuzana,Èaputová,  296,74.37
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,12,2,Maroš,Šefèoviè,  102,25.62
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,13,1,Zuzana,Èaputová,  352,77.36
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,13,2,Maroš,Šefèoviè,  103,22.63
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,14,1,Zuzana,Èaputová,  237,62.36
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,14,2,Maroš,Šefèoviè,  143,37.63
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,15,1,Zuzana,Èaputová,  303,76.13
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,15,2,Maroš,Šefèoviè,  95,23.86
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,16,1,Zuzana,Èaputová,  438,69.85
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,16,2,Maroš,Šefèoviè,  189,30.14
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,17,1,Zuzana,Èaputová,  375,69.06
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,17,2,Maroš,Šefèoviè,  168,30.93
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,18,1,Zuzana,Èaputová,  270,67.50
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,18,2,Maroš,Šefèoviè,  130,32.50
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,19,1,Zuzana,Èaputová,  234,68.02
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,19,2,Maroš,Šefèoviè,  110,31.97
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,20,1,Zuzana,Èaputová,  298,63.94
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,20,2,Maroš,Šefèoviè,  168,36.05
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,1,1,Zuzana,Èaputová,  479,83.15
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,1,2,Maroš,Šefèoviè,  97,16.84
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,2,1,Zuzana,Èaputová,  372,71.67
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,2,2,Maroš,Šefèoviè,  147,28.32
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,3,1,Zuzana,Èaputová,  329,79.27
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,3,2,Maroš,Šefèoviè,  86,20.72
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,4,1,Zuzana,Èaputová,  398,82.57
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,4,2,Maroš,Šefèoviè,  84,17.42
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,5,1,Zuzana,Èaputová,  331,75.57
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,5,2,Maroš,Šefèoviè,  107,24.42
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,6,1,Zuzana,Èaputová,  336,85.27
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,6,2,Maroš,Šefèoviè,  58,14.72
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,7,1,Zuzana,Èaputová,  352,82.62
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,7,2,Maroš,Šefèoviè,  74,17.37
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,8,1,Zuzana,Èaputová,  431,80.71
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,8,2,Maroš,Šefèoviè,  103,19.28
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,9,1,Zuzana,Èaputová,  450,83.48
